Marcus,09570524642,123,1234,12342-5,Ativo,800.0,
Jose,79958211076,777,0001,04816-6,Ativo,100,
Arthur,81587387026,777,0001,04836-6,Ativo,234,
Teste,28908076069,777,0001,88610-7,Ativo,0,
Marcus Valetim,6004288624,777,19208-8,0001,Ativo,200.00,
Karolina Clara,71773678965,777,04293-5,0001,Ativo,857.88,
Ingrid Vitoria,18271538810,777,04293-5,0001,Ativo,8900.66,
Inez Regina,54734388814,127,14293-1,0001,Desativado,3775.66,
Bruno Nunes,65369958130,127,24293-9,0001,Ativo,4832.44,
Tiago Oliveira,69082024292,127,34293-8,0001,Ativo,9765.00,
Beatriz Silva,33278345126,127,44293-7,0001,Ativo,88857.01,
Julia,85242085703,777,0001,73552-1,Ativo,0,
Julio,85242085703,777,0001,73552-1,Ativo,0,
Julio,85242085703,777,0001,73552-1,Desativado,0,
